Data A,Data B
0.00,10.66
0.50,13.35
1.00,18.29
1.50,24.10
2.00,32.36
2.50,41.55
3.00,52.87
3.50,64.19
4.00,76.99
4.50,89.12
5.00,104.15
5.50,120.81
6.00,139.77
6.50,160.04
7.00,180.31
7.50,182.42
8.00,206.76
8.50,232.63
9.00,260.21
9.50,289.08
10.00,319.70
10.50,350.32
11.00,383.64
11.50,417.36
12.00,452.66
12.50,487.96
13.00,524.39
13.50,562.30
14.00,601.81
14.50,641.32
15.00,682.45
15.50,725.02
16.00,769.33
16.50,815.08
17.00,862.38
17.50,909.68
18.00,963.39
18.50,1012.43
19.00,1063.05
19.50,1115.13
20.00,1168.72
20.50,1223.72
21.00,1278.72
21.50,1339.41
22.00,1397.40
22.50,1456.85
23.00,1516.30
23.50,1579.03
24.00,1640.49
24.50,1703.38
25.00,1767.83
25.50,1832.28
26.00,1896.84
26.50,1963.07
27.00,2030.82
27.50,2100.02
28.00,2170.63
28.50,2241.24
29.00,2310.49
29.50,2382.79
30.00,2456.62
30.50,2530.45
31.00,2598.24
31.50,2673.72
32.00,2750.71
32.50,2829.14
33.00,2907.57
33.50,2973.87
34.00,3051.92
34.50,3131.42
35.00,3212.41
35.50,3293.40
36.00,3353.27
36.50,3435.74
37.00,3519.68
37.50,3603.62
38.00,3673.87
38.50,3759.23
39.00,3846.07
39.50,3934.35
40.00,4022.63
40.50,4094.68
41.00,4184.36
41.50,4275.48
42.00,4368.05
42.50,4460.62
43.00,4528.44
43.50,4622.32
44.00,4717.64
44.50,4812.96
45.00,4880.42
45.50,4976.96
46.00,5074.95
46.50,5174.36
47.00,5273.77
47.50,5336.33
48.00,5437.00
48.50,5539.08
49.00,5642.59
49.50,5746.10
50.00,5803.86
50.50,5908.53
51.00,6014.63
51.50,6120.73
52.00,6188.46
52.50,6295.84
53.00,6404.63
53.50,6514.83
54.00,6625.03
54.50,6681.37
55.00,6792.81
55.50,6905.65
56.00,7020.00
56.50,7134.35
57.00,7189.20
57.50,7304.78
58.00,7421.77
58.50,7538.76
59.00,7593.62
59.50,7711.83
60.00,7831.44
60.50,7952.45
61.00,8073.46
61.50,8127.06
62.00,8249.24
62.50,8372.80
63.00,8497.76
63.50,8622.72
64.00,8675.12
64.50,8799.90
65.00,8926.07
65.50,9052.24
66.00,9106.09
66.50,9233.36
67.00,9362.01
67.50,9492.04
68.00,9622.07
68.50,9674.72
69.00,9805.58
69.50,9937.80
70.00,10071.40
70.50,10205.00
71.00,10257.65
71.50,10390.97
72.00,10525.66
72.50,10660.35
73.00,10714.49
73.50,10850.29
74.00,10987.45
74.50,11125.97
75.00,11264.49
75.50,11307.22
76.00,11446.62
76.50,11587.37
77.00,11729.49
77.50,11871.61
78.00,11913.29
78.50,12056.39
79.00,12200.84
79.50,12345.29
79.50,12295.62
80.00,12391.75
80.50,12489.22
81.00,12588.03
81.50,12686.84
82.00,12780.40
82.50,12880.32
83.00,12981.58
83.50,13082.84
84.00,13176.49
84.50,13278.78
85.00,13382.40
85.50,13487.35
86.00,13592.30
86.50,13685.83
87.00,13791.64
87.50,13898.77
88.00,14007.23
88.50,14115.69
89.00,14208.26
89.50,14317.67
90.00,14428.40
90.50,14539.13
91.00,14632.00
91.50,14743.61
92.00,14856.53
92.50,14970.77
93.00,15085.01
93.50,15166.92
94.00,15281.93
94.50,15398.24
95.00,15515.87
95.50,15633.50
96.00,15714.57
96.50,15833.03
97.00,15952.79
97.50,16072.55
98.00,16154.05
98.50,16274.59
99.00,16396.43
99.50,16519.57
